2026年7月3日作成,,,,,,,,,,,,,,,,
変電所 No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)（MW）,運用容量値（MW）,運用容量制約要因,予想潮流（MW）,空容量(当該設備)（MW）,空容量(上位系等考慮)（MW）,N-1電制適用可否,N-1電制適用可能量（MW）,平常時出力制御可能性,平常時出力制御が必要となりうる系統(当該設備),平常時出力制御が必要となりうる系統(上位系設備),備考
'3605,'3605,66,6.6,2,18,18,熱容量,-,9,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009，送362A,
'3606,'3606,11,66,2,11,11,熱容量,-10,-,-,不可 #3,0,有り,-,ﾌｪﾝｽ№1・№2，変009，送362A,
'3606,'3606,11,6.6,1,1,1,熱容量,-,0,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，変009，送362A,
'3607,'境,66,6.6,2,18,18,熱容量,-,9,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009，送362A,
'3608,'刈和野,66,6.6,2,36,36,熱容量,-,14,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009，送362A,
'3609,'大曲,66,6.6,3,49,49,熱容量,-,15,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3610,'千畑,66,6.6,2,36,36,熱容量,-,19,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3701,'由利,66,6.6,1,9,9,熱容量,-,4,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608，変308,
'3702,'3702,66,6.6,2,18,18,熱容量,-,10,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608，変308，送371A,
'3703,'象潟,66,6.6,2,31,31,熱容量,-,9,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608，変308，送371A,
'3704,'3704,66,3.3,1,5,5,熱容量,-,1,-,不可 #3,-,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608，変308，送371A,
'3705,'3705,66,33,1,10,10,熱容量,-9,-,-,不可 #3,-,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608，変308，送371A,
'3706,'本荘,66,33,1,15,15,熱容量,-3,-,-,不可 #3,-,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608，変308，送371A，送371Ｊ,
'3706,'本荘,66,6.6,3,49,49,熱容量,-,16,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608，変308，送371A，送371Ｊ,
'3707,'3707,66,6.6,1,5,5,熱容量,-,5,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608，変308，送371A,
'3708,'3708,66,33,1,12,12,熱容量,-9,-,-,不可 #3,-,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608，変308，送371A,
'3709,'平沢,66,6.6,2,36,36,熱容量,-,11,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608，変308，送372A,
'3710,'岩谷,66,6.6,2,18,18,熱容量,-,9,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608，変308，送371A，送371Ｊ,
'3801,'西馬音内,66,6.6,2,22,22,熱容量,-,11,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3802,'沼館,66,6.6,3,49,49,熱容量,-,17,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3803,'美入野,66,6.6,2,31,31,熱容量,-,15,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3804,'横手,66,6.6,3,54,54,熱容量,-,21,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3805,'羽後増田,66,33,1,6,6,熱容量,0,-,-,不可 #3,-,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3805,'羽後増田,66,6.6,2,31,31,熱容量,-,17,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3806,'東成瀬,33,6.6,1,5,5,熱容量,-,6,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3807,'湯沢,66,6.6,3,49,49,熱容量,-,15,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009，送383A,
'3808,'横堀,66,33,1,10,10,熱容量,-4,-,-,不可 #3,-,有り,-,ﾌｪﾝｽ№1・№2，変009，送383A，送383B,
'3808,'横堀,66,6.6,1,9,9,熱容量,-,10,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，変009，送383A，送383B,
'3809,'3809,66,6.6,1,3,3,熱容量,-,4,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，変009，送383A，送383B,
'3810,'3810,33,6.6,1,5,5,熱容量,-,1,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，変009，送383A，送383B,
'3901,'新山,154,6.6,2,36,36,熱容量,-,14,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608,
'変圧器の潮流は、一次側から二次側に流れる方向を正としています。,,,,,,,,,,,,,,,,
